Itemsets,Support,Length,Transaction_Count
whole milk,0.2229001423632296,1,2192
other vegetables,0.170734187512711,1,1679
rolls/buns,0.12660158633312996,1,1245
soda,0.10341671751067724,1,1017
tropical fruit,0.10321334146837502,1,1014
root vegetables,0.10036607687614399,1,987
yogurt,0.09995932479153956,1,983
sausage,0.09395973154362416,1,924
citrus fruit,0.08185885702664226,1,805
pip fruit,0.0739271913768558,1,726
bottled water,0.06030099654260728,1,593
frankfurter,0.05897905226764287,1,580
canned beer,0.058877364246491766,1,579
pork,0.057555419971527355,1,566
pastry,0.05338621110433191,1,525
beef,0.05236933089282082,1,515
"whole milk, other vegetables",0.05023388244864755,2,494
bottled beer,0.04820012202562538,1,474
chicken,0.042810656904616634,1,421
whipped/sour cream,0.04148871262965223,1,408
butter,0.03925157616432784,1,386
curd,0.03853976001627008,1,379
brown bread,0.0363026235509457,1,357
"root vegetables, other vegetables",0.0338621110433191,2,333
hamburger meat,0.0327435428106569,1,322
domestic eggs,0.031523286556843604,1,310
newspapers,0.03111653447223917,1,306
coffee,0.03111653447223917,1,306
berries,0.030303030303030304,1,298
"root vegetables, whole milk",0.030201342281879196,2,297
shopping bags,0.030099654260728085,1,296
"whole milk, yogurt",0.02857433394346146,2,281
dessert,0.028370957901159243,1,279
"tropical fruit, whole milk",0.02796420581655481,2,275
fruit/vegetable juice,0.027455765710799267,1,270
onions,0.02725238966849705,1,268
ham,0.02603213341468375,1,256
UHT-milk,0.02603213341468375,1,256
meat,0.025828757372381533,1,254
frozen vegetables,0.02552369330892821,1,251
margarine,0.02481187716087045,1,244
"whole milk, rolls/buns",0.024303437055114906,2,239
cream cheese,0.023388244864754933,1,230
"tropical fruit, other vegetables",0.023388244864754933,2,230
white bread,0.021354484441732765,1,210
grapes,0.021049420378279438,1,207
beverages,0.020540980272523896,1,202
