Transaction_ID,Items,Item_Count
1,"tropical fruit, yogurt, coffee",3
2,whole milk,1
3,"pip fruit, yogurt, cream cheese, meat spreads",4
4,"other vegetables, whole milk, condensed milk, long life bakery product",4
5,"whole milk, butter, yogurt, rice",4
6,rolls/buns,1
7,"other vegetables, UHT-milk, rolls/buns, bottled beer",4
8,pot plants,1
9,"whole milk, cereals",2
10,"tropical fruit, other vegetables, white bread, bottled water",4
11,"citrus fruit, tropical fruit, whole milk, butter",4
12,beef,1
13,"frankfurter, rolls/buns, soda",3
14,"chicken, tropical fruit",2
15,"butter, sugar, fruit/vegetable juice, newspapers",4
16,fruit/vegetable juice,1
17,packaged fruit/vegetables,1
18,chocolate,1
19,specialty bar,1
20,other vegetables,1
21,"butter milk, pastry",2
22,whole milk,1
23,"tropical fruit, cream cheese, processed cheese, detergent",4
24,"tropical fruit, root vegetables, other vegetables, frozen dessert",4
25,"bottled water, canned beer",2
26,yogurt,1
27,"sausage, rolls/buns, soda, chocolate",4
28,other vegetables,1
29,"brown bread, soda, fruit/vegetable juice, canned beer",4
30,"yogurt, beverages, bottled water, specialty bar",4
31,"hamburger meat, other vegetables, rolls/buns, spices",4
32,"root vegetables, other vegetables, whole milk, beverages",4
33,"pork, berries, other vegetables, whole milk",4
34,"beef, grapes, detergent",3
35,"pastry, soda",2
36,fruit/vegetable juice,1
37,canned beer,1
38,"root vegetables, other vegetables, whole milk, dessert",4
39,"citrus fruit, zwieback, newspapers",3
40,"sausage, rolls/buns, soda, canned beer",4
41,"tropical fruit, root vegetables, whole milk, yogurt",4
42,"berries, yogurt",2
43,canned beer,1
44,"butter milk, yogurt, cream cheese, spread cheese",4
45,coffee,1
46,"pastry, bottled water",2
47,rolls/buns,1
48,misc. beverages,1
49,"root vegetables, other vegetables, butter, curd",4
50,"sausage, rolls/buns, cat food, newspapers",4
51,canned beer,1
52,"ham, grapes, other vegetables, whole milk",4
53,"turkey, tropical fruit, other vegetables, curd",4
54,"whole milk, yogurt, processed cheese, pickled vegetables",4
55,"whole milk, curd, yogurt, pastry",4
56,"packaged fruit/vegetables, brown bread, canned beer",3
57,"rolls/buns, oil, bottled water, chewing gum",4
58,"ham, beef, whipped/sour cream, ice cream",4
59,"rolls/buns, pastry, sugar",3
60,"other vegetables, whole milk, frozen vegetables, canned fish",4
61,"sausage, pastry",2
62,"sausage, beef, whole milk",3
63,"frankfurter, tropical fruit, rolls/buns, brown bread",4
64,"rolls/buns, pastry, soda",3
65,whole milk,1
66,"curd cheese, coffee",2
67,"red/blush wine, newspapers",2
68,"sausage, whole milk, curd",3
69,"tropical fruit, pip fruit, berries, whole milk",4
70,red/blush wine,1
71,"whole milk, butter, margarine, specialty fat",4
72,"frankfurter, citrus fruit, whole milk, domestic eggs",4
73,"whole milk, meat spreads, soda",3
74,frozen potato products,1
75,"other vegetables, whole milk, rolls/buns, sugar",4
76,"citrus fruit, whole milk, curd, butter milk",4
77,"flour, salt, bottled water, fruit/vegetable juice",4
78,"sugar, bottled water, soda, bottled beer",4
79,"frozen meals, coffee",2
80,chocolate,1
81,"root vegetables, whole milk, frozen vegetables, domestic eggs",4
82,"root vegetables, onions, hard cheese, frozen vegetables",4
83,"herbs, condensed milk, frozen vegetables, salt",4
84,bottled water,1
85,"sausage, root vegetables, onions, yogurt",4
86,"coffee, newspapers",2
87,"pork, other vegetables, whipped/sour cream",3
88,"berries, yogurt",2
89,soda,1
90,berries,1
91,"fruit/vegetable juice, salty snack, candles",3
92,"citrus fruit, butter milk, yogurt, cream cheese",4
93,"pork, hamburger meat, citrus fruit, berries",4
94,detergent,1
95,"grapes, photo/film",2
96,"sausage, sliced cheese, rolls/buns, brown bread",4
97,"chicken, hamburger meat, citrus fruit, tropical fruit",4
98,"whole milk, yogurt, brown bread",3
99,"citrus fruit, tropical fruit",2
100,"soda, misc. beverages",2
101,"sausage, pork, grapes, whole milk",4
102,"frankfurter, rolls/buns, bottled water",3
103,"sausage, whole milk, yogurt, coffee",4
104,soda,1
105,"rolls/buns, fruit/vegetable juice",2
106,"beef, citrus fruit, berries, root vegetables",4
107,"whole milk, whipped/sour cream, rolls/buns, soda",4
108,processed cheese,1
109,"tropical fruit, pip fruit",2
110,"frankfurter, sausage, root vegetables, other vegetables",4
111,"packaged fruit/vegetables, bottled water",2
112,"whole milk, dessert, frozen vegetables, rolls/buns",4
113,"berries, whipped/sour cream",2
114,"citrus fruit, berries, UHT-milk, processed cheese",4
115,"tropical fruit, whole milk, yogurt",3
116,"hamburger meat, whole milk, frozen vegetables, rolls/buns",4
117,"hamburger meat, other vegetables, whole milk, frozen vegetables",4
118,"whole milk, cream cheese, soda",3
119,"fish, other vegetables, pastry, margarine",4
120,"frankfurter, sausage, long life bakery product, waffles",4
121,"packaged fruit/vegetables, dessert, semi-finished bread, canned beer",4
122,"pastry, soda",2
123,"other vegetables, red/blush wine",2
124,misc. beverages,1
125,"frankfurter, sausage, citrus fruit, tropical fruit",4
126,sparkling wine,1
127,specialty bar,1
128,"sausage, butter milk, rolls/buns",3
129,curd cheese,1
130,"frankfurter, dessert",2
131,"whole milk, yogurt, beverages, brown bread",4
132,newspapers,1
133,"berries, soda",2
134,"curd, flour, liquor (appetizer)",3
135,"tropical fruit, other vegetables, coffee",3
136,soda,1
137,"rolls/buns, Instant food products",2
138,canned beer,1
139,canned beer,1
140,"frankfurter, sausage, whole milk, rolls/buns",4
141,"other vegetables, misc. beverages, canned beer",3
142,"whole milk, frozen vegetables",2
143,whole milk,1
144,"citrus fruit, butter, cream cheese, white bread",4
145,"frankfurter, rolls/buns",2
146,"frankfurter, ham, pip fruit, other vegetables",4
147,"butter milk, yogurt, honey, soda",4
148,"hamburger meat, citrus fruit, onions, rolls/buns",4
149,"pasta, popcorn",2
150,"other vegetables, whole milk, meat spreads, cake bar",4
151,"sausage, pork, citrus fruit, dessert",4
152,rolls/buns,1
153,"grapes, other vegetables, curd, dessert",4
154,"root vegetables, other vegetables, whole milk, yogurt",4
155,"coffee, shopping bags",2
156,popcorn,1
157,"whole milk, rolls/buns, sugar, bottled water",4
158,"tropical fruit, other vegetables, packaged fruit/vegetables, whole milk",4
159,"beef, herbs, flour, cling film/bags",4
160,"whole milk, butter, dessert, rolls/buns",4
161,"frankfurter, soda, chewing gum",3
162,"tropical fruit, specialty cheese, bottled water",3
163,canned beer,1
164,"finished products, other vegetables, frozen vegetables, bottled beer",4
165,"beverages, soda",2
166,"hamburger meat, root vegetables, whole milk",3
167,"whole milk, pastry, long life bakery product",3
168,"finished products, white wine, shopping bags",3
169,other vegetables,1
170,"ham, tropical fruit, other vegetables, whole milk",4
171,other vegetables,1
172,"curd, butter milk, cocoa drinks, salty snack",4
173,bottled beer,1
174,"curd, dessert, soda, salty snack",4
175,"whole milk, cream cheese, cereals, dog food",4
176,"whole milk, salt",2
177,"dessert, ice cream",2
178,"sausage, soft cheese, coffee",3
179,"other vegetables, bottled water, waffles, dishes",4
180,"ham, whole milk, rolls/buns",3
181,"other vegetables, ice cream",2
182,"other vegetables, bottled water",2
183,"soda, bottled beer, white wine, prosecco",4
184,"herbs, candy",2
185,"frankfurter, ham, tropical fruit, pip fruit",4
186,"rolls/buns, canned beer",2
187,"curd, cream cheese, semi-finished bread, zwieback",4
188,"frankfurter, tropical fruit, whole milk, spread cheese",4
189,other vegetables,1
190,dog food,1
191,specialty bar,1
192,"curd, salt, liquor (appetizer), detergent",4
193,"frankfurter, rolls/buns",2
194,soda,1
195,"beef, berries, root vegetables, whole milk",4
196,canned beer,1
197,"pork, beef, pip fruit, herbs",4
198,"frankfurter, citrus fruit, UHT-milk, margarine",4
199,"sausage, bottled beer, liquor (appetizer)",3
200,canned beer,1
201,specialty chocolate,1
202,"curd, rolls/buns",2
203,canned beer,1
204,"whole milk, bottled water, newspapers",3
205,"rolls/buns, chewing gum",2
206,"pork, root vegetables, other vegetables, whole milk",4
207,"citrus fruit, pastry",2
208,pot plants,1
209,"rolls/buns, pastry, soda",3
210,"butter, yogurt, bottled water, soda",4
211,"condensed milk, sugar, coffee, shopping bags",4
212,"sausage, other vegetables, yogurt, soda",4
213,"whole milk, beverages, UHT-milk, soda",4
214,"sausage, pork, beef, whole milk",4
215,beverages,1
216,"beverages, specialty bar",2
217,"bottled water, fruit/vegetable juice",2
218,newspapers,1
219,"cleaner, female sanitary products",2
220,"sausage, soda, newspapers, shopping bags",4
221,newspapers,1
222,"sausage, beef, citrus fruit, other vegetables",4
223,"misc. beverages, newspapers",2
224,white wine,1
225,"sausage, sliced cheese, rolls/buns, soda",4
226,"meat, curd, bottled beer, cake bar",4
227,"frankfurter, meat, tropical fruit, onions",4
228,"ice cream, rolls/buns, canned beer",3
229,canned beer,1
230,"tropical fruit, berries, root vegetables, other vegetables",4
231,"meat, citrus fruit, other vegetables, curd",4
232,"whole milk, mustard, bottled water",3
233,"sausage, beef, beverages, sliced cheese",4
234,"frankfurter, sausage, root vegetables, butter",4
235,"meat, other vegetables, butter, rolls/buns",4
236,"root vegetables, beverages, Instant food products, pickled vegetables",4
237,"root vegetables, herbs, other vegetables, whole milk",4
238,"whole milk, whipped/sour cream, semi-finished bread, margarine",4
239,"citrus fruit, whole milk, curd, dessert",4
240,"citrus fruit, curd, pastry, margarine",4
241,"other vegetables, whole milk, bottled water, soda",4
242,"citrus fruit, whole milk, rolls/buns",3
243,"sausage, oil, hygiene articles, napkins",4
244,"frankfurter, beef, hamburger meat, grapes",4
245,"hard cheese, rolls/buns, bottled water, newspapers",4
246,"cream cheese, rolls/buns, soda, chocolate",4
247,"turkey, beef, frozen vegetables, dishes",4
248,"pork, other vegetables, whipped/sour cream, rolls/buns",4
249,"whole milk, beverages",2
250,"rolls/buns, soda",2
251,"sausage, pip fruit, whole milk, curd",4
252,ice cream,1
253,liquor,1
254,"pip fruit, other vegetables, fruit/vegetable juice",3
255,"root vegetables, other vegetables, yogurt",3
256,soda,1
257,soda,1
258,"sausage, citrus fruit, tropical fruit, other vegetables",4
259,"root vegetables, whole milk, pet care, detergent",4
260,"pork, berries, root vegetables, other vegetables",4
261,pork,1
262,chocolate,1
263,fruit/vegetable juice,1
264,"pickled vegetables, coffee",2
265,bottled water,1
266,"frankfurter, sausage, butter, whipped/sour cream",4
267,"tropical fruit, pip fruit, onions, other vegetables",4
268,canned beer,1
269,root vegetables,1
270,"meat, citrus fruit, berries, root vegetables",4
271,"frankfurter, rolls/buns, bottled water, fruit/vegetable juice",4
272,"tropical fruit, margarine, rum",3
273,"tropical fruit, root vegetables, herbs, whole milk",4
274,"citrus fruit, pip fruit, root vegetables, other vegetables",4
275,"hamburger meat, other vegetables, whole milk, curd",4
276,"chicken, pip fruit, other vegetables, whole milk",4
277,"chicken, citrus fruit, tropical fruit, root vegetables",4
278,"frankfurter, citrus fruit, onions, other vegetables",4
279,canned beer,1
280,"turkey, pip fruit, salad dressing, pastry",4
281,"packaged fruit/vegetables, whole milk, curd, yogurt",4
282,pasta,1
283,"citrus fruit, tropical fruit",2
284,"sausage, whole milk, yogurt, rolls/buns",4
285,"whole milk, frozen meals, pastry, fruit/vegetable juice",4
286,canned beer,1
287,"citrus fruit, sugar, sauces",3
288,liquor (appetizer),1
289,"citrus fruit, other vegetables, rolls/buns, salty snack",4
290,sausage,1
291,"chicken, other vegetables, whole milk, vinegar",4
292,"hamburger meat, root vegetables, other vegetables, whole milk",4
293,"sausage, pork, other vegetables, dessert",4
294,"beef, berries, root vegetables, whole milk",4
295,"citrus fruit, packaged fruit/vegetables, yogurt, bottled water",4
296,"UHT-milk, coffee",2
297,candy,1
298,newspapers,1
299,"beef, citrus fruit, other vegetables, yogurt",4
300,"sausage, rolls/buns",2
301,"frankfurter, beef, root vegetables, curd",4
302,canned beer,1
303,bottled beer,1
304,"onions, soda, chewing gum, chocolate",4
305,"tropical fruit, packaged fruit/vegetables, cream cheese, white bread",4
306,"bottled water, white wine",2
307,"beef, white bread, pastry, pasta",4
308,"sausage, chicken, tropical fruit, root vegetables",4
309,hair spray,1
310,"chicken, whole milk, spices, long life bakery product",4
311,"pork, citrus fruit, brown bread, pastry",4
312,ice cream,1
313,"meat, hard cheese, bottled beer",3
314,"other vegetables, yogurt, brown bread, instant coffee",4
315,"bottled water, cake bar",2
316,"tropical fruit, soda, salty snack",3
317,photo/film,1
318,"sausage, citrus fruit, yogurt, coffee",4
319,"grapes, root vegetables",2
320,"domestic eggs, brown bread, photo/film",3
321,"rolls/buns, canned fish, canned beer",3
322,"tropical fruit, whole milk",2
323,chicken,1
324,"frankfurter, other vegetables, yogurt, brown bread",4
325,"berries, root vegetables, other vegetables, curd",4
326,"margarine, hygiene articles",2
327,"tropical fruit, yogurt, rolls/buns, soda",4
328,"ham, other vegetables, whipped/sour cream, hard cheese",4
329,"hamburger meat, white bread, salty snack",3
330,"yogurt, mayonnaise, rolls/buns, soda",4
331,"soda, specialty chocolate",2
